n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound,fixed bound ,Error from LPT,Error RL from bound,Error LPT from bound ,Mean error from LPT,Error RL from bound,Error LPT from bound 
6,3,1,20,2500,"{3,3,9,11,16,20}",22,22,4.54416132,0,0,20,20,0,9.090909091,9.090909091,0,3.587339297,3.715553809
6,3,1,20,2500,"{1,3,8,13,15,17}",21,21,5.15424037,0,0,21,21,0,0,0,1.447475747,15.09017824,16.31328375
6,3,1,20,2500,"{3,3,5,10,15,17}",18,18,4.45795393,0,0,15,17,0,5.555555556,5.555555556,0.876111229,38.11155827,38.6284287
6,3,1,20,2500,"{4,5,8,8,8,16}",17,17,3.894080162,0,0,16,16,0,5.882352941,5.882352941,0,5.509709302,5.509709302
6,3,1,20,2500,"{9,9,11,12,14,17}",26,26,5.088869572,0,0,23,23,0,11.53846154,11.53846154,0.542623004,24.97472331,25.37349381
6,3,1,20,2500,"{2,3,4,6,14,16}",16,16,5.246323347,0,0,10,16,0,0,0,-1.873308919,50.98412513,50.10408284
6,3,1,20,2500,"{2,2,5,6,13,18}",18,18,5.097199678,0,0,11,18,0,0,0,-0.060119048,1.804451051,1.778121541
6,3,1,20,2500,"{1,3,5,10,11,20}",20,20,5.040386677,0,0,15,20,0,0,0,0.511819547,7.197375208,7.699087439
6,3,1,20,2500,"{2,3,12,13,19,19}",25,25,4.447223902,0,0,25,25,0,0,0,0.465217251,26.84241318,27.22271581
6,3,1,20,2500,"{1,1,5,10,16,20}",20,20,5.063724279,0,0,15,20,0,0,0,-0.07962963,3.897882928,3.851443693
6,3,1,20,2500,"{1,3,9,12,13,19}",21,21,5.322594404,0,0,21,21,0,0,0,5.592013838,16.23939615,20.99377041
6,3,1,20,2500,"{3,5,9,14,15,20}",23,23,4.755772591,0,0,23,23,0,0,0,-2.887432708,40.77707676,39.15310543
6,3,1,20,2500,"{2,5,6,14,15,16}",20,20,4.814603806,0,0,20,20,0,0,0,-0.026490066,0.419354839,0.40397351
6,3,1,20,2500,"{9,10,14,16,18,19}",30,30,5.63613987,0,0,30,30,0,0,0,-0.580143414,3.639569707,3.164806238
6,3,1,20,2500,"{6,9,15,16,20,20}",31,31,4.484508038,0,0,31,31,0,0,0,-1.263126175,17.8274936,17.02019128
6,3,1,20,2500,"{2,3,4,11,16,18}",18,18,4.270139217,0,0,15,18,0,0,0,0,0.214285714,0.214285714
6,3,1,20,2500,"{1,3,5,6,6,6}",11,11,3.094338655,0,0,11,11,0,0,0,-0.609920683,5.100155933,4.576916194
6,3,1,20,2500,"{4,7,16,17,18,19}",33,33,5.379479408,0,0,33,33,0,0,0,-7.407562099,31.04906158,26.01498492
6,3,1,20,2500,"{6,7,7,8,13,17}",21,21,5.020968437,0,0,15,17,0,19.04761905,19.04761905,-12.29508197,32.11678832,23.7704918
6,3,1,20,2500,"{4,6,8,13,14,20}",24,23,5.283854246,0,0,15,21,4.166666667,8.695652174,12.5,,,
6,3,1,20,2500,"{3,8,17,17,18,20}",34,34,5.414393902,0,0,34,34,0,0,0,,,
6,3,1,20,2500,"{1,14,15,15,17,19}",31,31,5.4814291,0,0,30,30,0,3.225806452,3.225806452,,,
6,3,1,20,2500,"{3,11,12,14,16,20}",27,27,5.037197113,0,0,26,26,0,3.703703704,3.703703704,,,
6,3,1,20,2500,"{2,5,8,9,10,11}",17,17,5.213914394,0,0,17,17,0,0,0,,,
6,3,1,20,2500,"{1,2,3,10,10,11}",13,13,3.609103203,0,0,13,13,0,0,0,,,
6,3,1,20,2500,"{1,9,11,12,13,16}",23,23,5.479355335,0,0,23,23,0,0,0,,,
6,3,1,20,2500,"{2,7,9,10,19,20}",26,26,4.960940838,0,0,19,20,0,23.07692308,23.07692308,,,
6,3,1,20,2500,"{1,4,4,5,8,9}",12,12,4.819738865,0,0,9,9,0,25,25,,,
6,3,1,20,2500,"{1,2,9,10,11,14}",19,19,4.625376225,0,0,19,19,0,0,0,,,
6,3,1,20,2500,"{2,8,9,10,16,17}",24,24,5.240793467,0,0,19,19,0,20.83333333,20.83333333,,,
6,3,1,20,2500,"{2,3,3,10,14,14}",16,16,4.063817263,0,0,13,14,0,12.5,12.5,,,
6,3,1,20,2500,"{2,3,4,12,14,17}",18,18,4.641335726,0,0,16,17,0,5.555555556,5.555555556,,,
6,3,1,20,2500,"{1,3,3,3,6,12}",12,12,5.139351606,0,0,6,12,0,0,0,,,
6,3,1,20,2500,"{4,5,11,14,14,17}",25,25,4.296253204,0,0,25,25,0,0,0,,,
6,3,1,20,2500,"{1,14,17,17,18,20}",34,34,5.443519115,0,0,34,34,0,0,0,,,
6,3,1,20,2500,"{2,2,4,11,14,19}",19,19,4.975874424,0,0,15,19,0,0,0,,,
6,3,1,20,2500,"{2,2,8,9,12,17}",17,17,4.579590082,0,0,17,17,0,0,0,,,
6,3,1,20,2500,"{3,4,7,8,14,17}",18,18,4.905306101,0,0,15,17,0,5.555555556,5.555555556,,,
6,3,1,20,2500,"{1,3,8,10,12,18}",18,18,4.868396759,0,0,18,18,0,0,0,,,
6,3,1,20,2500,"{3,5,6,6,9,15}",15,15,4.835744858,0,0,12,15,0,0,0,,,
6,3,1,20,2500,"{5,13,15,17,17,18}",32,32,4.398727417,0,0,32,32,0,0,0,,,
6,3,1,20,2500,"{5,5,8,8,10,15}",20,18,4.364108801,0,0,16,16,10,11.11111111,20,,,
6,3,1,20,2500,"{1,4,13,14,15,19}",27,27,4.925152063,0,0,27,27,0,0,0,,,
6,3,1,20,2500,"{1,1,2,11,11,18}",18,18,3.759893179,0,0,13,18,0,0,0,,,
6,3,1,20,2500,"{1,4,15,19,20,20}",34,34,4.259752989,0,0,34,34,0,0,0,,,
6,3,1,20,2500,"{3,9,11,14,18,19}",27,27,5.042649508,0,0,25,25,0,7.407407407,7.407407407,,,
6,3,1,20,2500,"{1,7,10,14,15,20}",24,24,5.941375256,0,0,24,24,0,0,0,,,
6,3,1,20,2500,"{5,12,13,16,17,18}",29,29,4.513474226,0,0,29,29,0,0,0,,,
6,3,1,20,2500,"{8,11,13,15,18,19}",29,29,5.936040878,0,0,28,28,0,3.448275862,3.448275862,,,
6,3,1,20,2500,"{1,11,12,13,15,19}",26,26,5.106086731,0,0,25,25,0,3.846153846,3.846153846,,,
6,3,1,20,2500,"{1,1,7,8,19,19}",19,19,4.552708149,0,0,15,19,0,0,0,,,
6,3,1,20,2500,"{2,4,10,10,13,17}",20,20,5.50522995,0,0,20,20,0,0,0,,,
6,3,1,20,2500,"{1,2,2,8,14,18}",18,18,5.214574575,0,0,10,18,0,0,0,,,
6,3,1,20,2500,"{5,7,10,15,16,20}",25,25,4.837473154,0,0,25,25,0,0,0,,,
6,3,1,20,2500,"{1,2,4,7,16,18}",18,18,5.866941929,0,0,11,18,0,0,0,,,
6,3,1,20,2500,"{1,3,11,13,13,15}",24,24,4.432093859,0,0,24,24,0,0,0,,,
6,3,1,20,2500,"{3,3,10,11,17,19}",22,22,5.065395117,0,0,21,21,0,4.545454545,4.545454545,,,
6,3,1,20,2500,"{3,4,8,13,15,20}",22,22,5.389618874,0,0,21,21,0,4.545454545,4.545454545,,,
6,3,1,20,2500,"{3,4,5,10,12,14}",17,17,5.052534342,0,0,15,15,0,11.76470588,11.76470588,,,
6,3,1,20,2500,"{1,4,7,12,17,17}",21,21,4.540396214,0,0,19,19,0,9.523809524,9.523809524,,,
6,3,1,20,2500,"{9,12,12,18,20,20}",32,32,4.452323914,0,0,30,30,0,6.25,6.25,,,
6,3,1,20,2500,"{6,14,15,15,17,20}",31,31,5.463910103,0,0,30,30,0,3.225806452,3.225806452,,,
6,3,1,20,2500,"{1,8,11,12,18,20}",26,26,5.446986198,0,0,23,23,0,11.53846154,11.53846154,,,
6,3,1,20,2500,"{4,8,11,13,17,20}",25,25,4.76709199,0,0,24,24,0,4,4,,,
6,3,1,20,2500,"{4,6,8,8,17,19}",22,22,5.976694822,0,0,16,19,0,13.63636364,13.63636364,,,
6,3,1,20,2500,"{1,3,9,12,19,20}",22,22,5.028695822,0,0,21,21,0,4.545454545,4.545454545,,,
6,3,1,20,2500,"{3,5,7,12,12,14}",19,19,4.060559988,0,0,19,19,0,0,0,,,
6,3,1,20,2500,"{3,8,8,15,16,19}",24,24,5.193089485,0,0,23,23,0,4.166666667,4.166666667,,,
6,3,1,20,2500,"{11,12,13,18,19,19}",31,31,3.778369188,0,0,31,31,0,0,0,,,
6,3,1,20,2500,"{1,2,4,8,17,18}",18,18,5.292783022,0,0,12,18,0,0,0,,,
6,3,1,20,2500,"{3,4,13,13,14,18}",26,26,5.247144222,0,0,26,26,0,0,0,,,
6,3,1,20,2500,"{3,5,9,13,15,15}",22,22,4.269080639,0,0,22,22,0,0,0,,,
6,3,1,20,2500,"{2,2,7,10,13,19}",19,19,4.422113419,0,0,17,19,0,0,0,,,
6,3,1,20,2500,"{2,6,6,18,19,20}",25,25,5.203012943,0,0,24,24,0,4,4,,,
6,3,1,20,2500,"{1,2,2,4,5,6}",7,7,3.894075155,0,0,6,6,0,14.28571429,14.28571429,,,
6,3,1,20,2500,"{6,10,12,14,15,16}",26,26,5.470698118,0,0,26,26,0,0,0,,,
6,3,1,20,2500,"{2,6,6,7,8,20}",20,20,5.667236805,0,0,13,20,0,0,0,,,
6,3,1,20,2500,"{4,8,15,16,18,18}",31,31,4.492949486,0,0,31,31,0,0,0,,,
6,3,1,20,2500,"{2,9,10,11,11,13}",21,21,4.161565781,0,0,21,21,0,0,0,,,
6,3,1,20,2500,"{3,10,11,17,19,20}",29,29,5.220052958,0,0,28,28,0,3.448275862,3.448275862,,,
6,3,1,20,2500,"{1,2,3,16,17,20}",20,20,4.462093592,0,0,19,20,0,0,0,,,
6,3,1,20,2500,"{1,2,4,4,14,20}",20,20,5.725097418,0,0,8,20,0,0,0,,,
6,3,1,20,2500,"{8,14,15,15,16,16}",30,30,3.783339739,0,0,30,30,0,0,0,,,
6,3,1,20,2500,"{2,4,4,9,12,13}",16,16,4.894868374,0,0,13,13,0,18.75,18.75,,,
6,3,1,20,2500,"{5,8,9,11,11,17}",22,22,4.262586594,0,0,20,20,0,9.090909091,9.090909091,,,
6,3,1,20,2500,"{6,9,16,18,18,20}",34,34,4.662192345,0,0,34,34,0,0,0,,,
6,3,1,20,2500,"{9,10,13,14,16,20}",29,29,5.338365555,0,0,27,27,0,6.896551724,6.896551724,,,
6,3,1,20,2500,"{3,4,14,15,17,17}",29,29,4.574961185,0,0,29,29,0,0,0,,,
6,3,1,20,2500,"{1,5,9,10,12,13}",19,19,5.004810572,0,0,19,19,0,0,0,,,
6,3,1,20,2500,"{1,2,3,5,6,17}",17,17,5.403007984,0,0,8,17,0,0,0,,,
6,3,1,20,2500,"{2,7,12,14,16,16}",26,26,4.237716675,0,0,26,26,0,0,0,,,
6,3,1,20,2500,"{6,6,12,13,18,19}",25,25,4.501895428,0,0,25,25,0,0,0,,,
6,3,1,20,2500,"{1,12,15,17,18,19}",32,32,5.488724232,0,0,32,32,0,0,0,,,
6,3,1,20,2500,"{1,3,5,7,8,19}",19,19,5.473963022,0,0,12,19,0,0,0,,,
6,3,1,20,2500,"{4,6,6,8,11,14}",18,18,5.08993268,0,0,14,14,0,22.22222222,22.22222222,,,
6,3,1,20,2500,"{4,5,8,11,15,18}",22,22,5.169247627,0,0,19,19,0,13.63636364,13.63636364,,,
6,3,1,20,2500,"{3,4,7,7,8,15}",15,15,4.590656042,0,0,14,15,0,0,0,,,
6,3,1,20,2500,"{2,5,7,16,18,19}",23,23,4.635201216,0,0,23,23,0,0,0,,,
6,3,1,20,2500,"{1,7,12,16,16,20}",28,28,4.252550364,0,0,28,28,0,0,0,,,
6,3,1,20,2500,"{3,4,4,7,16,20}",20,20,4.968835831,0,0,11,20,0,0,0,,,
9,3,1,20,4000,"{2,2,4,5,6,13,15,16,20}",28,28,18.848557,0,14.34262948,10,28,0,0,0,,,
9,3,1,20,4000,"{2,4,6,7,8,12,12,17,19}",30,29,18.59160089,1.305483029,17.75456919,13,24,3.333333333,17.24137931,20,,,
9,3,1,20,4000,"{3,3,4,6,7,8,10,14,17}",25,24,16.46338987,0,4.705882353,10,18,4,25,28,,,
9,3,1,20,4000,"{1,2,2,5,9,11,12,12,16}",24,24,27.04171729,0,7.567567568,8,23,0,4.166666667,4.166666667,,,
9,3,1,20,4000,"{1,1,6,6,6,13,19,20,20}",32,32,15.12098598,0,5.882352941,12,32,0,0,0,,,
9,3,1,20,4000,"{3,7,10,12,13,14,15,16,18}",39,37,19.62657118,1.207243461,18.5110664,22,29,5.128205128,21.62162162,25.64102564,,,
9,3,1,20,4000,"{2,3,3,5,8,11,20,20,20}",31,31,8.758701324,0,0,11,31,0,0,0,,,
9,3,1,20,4000,"{2,4,6,7,11,14,15,17,18}",32,32,19.42299771,5.227272727,28.63636364,13,29,0,9.375,9.375,,,
9,3,1,20,4000,"{1,7,10,11,13,13,14,16,17}",37,36,18.31544471,0,15.30944625,21,27,2.702702703,25,27.02702703,,,
9,3,1,20,4000,"{1,1,3,5,11,11,12,15,20}",27,27,19.21693468,2.51572327,14.46540881,9,23,0,14.81481481,14.81481481,,,
9,3,1,20,4000,"{2,4,4,5,6,7,10,10,19}",23,23,33.58743644,1,4,9,19,0,17.39130435,17.39130435,,,
9,3,1,20,4000,"{2,2,5,5,7,9,10,10,11}",21,21,24.61775541,0,8.064516129,10,19,0,9.523809524,9.523809524,,,
9,3,1,20,4000,"{8,13,15,16,16,17,17,17,19}",48,48,27.36674571,0.995024876,10.44776119,31,34,0,29.16666667,29.16666667,,,
9,3,1,20,4000,"{7,8,10,14,18,18,19,20,20}",45,45,24.34056735,0.943396226,7.075471698,24,37,0,17.77777778,17.77777778,,,
9,3,1,20,4000,"{1,1,2,4,8,10,16,20,20}",28,28,18.71849251,0,9.271523179,10,26,0,7.142857143,7.142857143,,,
9,3,1,20,4000,"{2,3,7,8,11,11,14,15,20}",32,31,20.11026168,0.338983051,11.86440678,15,25,3.125,19.35483871,21.875,,,
9,3,1,20,4000,"{1,2,3,7,8,10,12,15,20}",27,27,19.40127301,0.673400673,11.44781145,10,22,0,18.51851852,18.51851852,,,
9,3,1,20,4000,"{1,1,2,3,12,15,18,20,20}",33,33,26.3605144,0,13.07189542,11,33,0,0,0,,,
9,3,1,20,4000,"{4,5,8,11,11,11,12,17,20}",35,34,17.24909234,0,1.587301587,19,23,2.857142857,32.35294118,34.28571429,,,
