n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound
5,3,1,20,3000,"{2,4,9,9,10,12}",18,20,67.15108156204224,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,18,56.151158571243286,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,20,67.82960653305054,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,20,66.56269693374634,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,18,60.81198453903198,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,19,70.72311782836914,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,20,65.18455290794373,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,19,67.55550169944763,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,19,67.30722379684448,0,0,18
5,3,1,20,3000,"{2,4,9,9,10,12}",18,18,60.13759469985962,0,0,18
