n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound
6,3,1,20,3000,"{3,7,8,9,12,13}",19,20,35.04260849952698,0,0,17
9,3,1,20,3000,"{2,4,7,10,10,13,17,18,18}",35,40,51.64409041404724,0,0,30
15,3,1,20,4000,"{1,1,3,4,4,4,7,8,14,15,16,16,17,17,18}",49,49,103.3464584350586,0,0,33
6,3,20,50,3000,"{30,34,36,40,47,50}",81,84,39.2877254486084,0,0,76
9,3,20,50,3000,"{25,26,27,29,30,30,30,48,50}",104,107,57.00977277755737,0,0,60
15,3,20,50,4000,"{20,22,23,25,25,32,34,37,37,38,47,47,48,48,48}",177,179,90.01238584518433,0,0,95
6,4,1,20,3000,"{2,10,11,14,15,18}",21,23,39.8813579082489,0,0,21
9,4,1,20,3000,"{2,3,4,4,6,8,9,10,11}",15,16,51.80898904800415,0,0,14
15,4,1,20,4000,"{1,3,4,6,9,10,10,11,11,13,15,15,16,17,20}",41,43,114.2901759147644,0,0,30
6,4,20,50,3000,"{22,26,37,48,48,50}",70,74,35.32568097114563,0,0,63
9,4,20,50,3000,"{21,22,23,25,33,33,35,39,41}",81,88,51.728039264678955,0,0,66
15,4,20,50,4000,"{20,26,27,28,28,31,35,38,40,43,44,45,46,48,50}",144,160,125.49446058273315,0,0,89
6,5,1,20,3000,"{1,4,5,7,12,15}",15,15,34.31380081176758,0,0,15
9,5,1,20,3000,"{4,6,6,6,7,10,14,19,20}",20,20,40.8087854385376,0,0,20
15,5,1,20,4000,"{1,2,5,6,6,9,11,11,11,13,17,18,18,18,20}",35,37,88.09157085418701,0,0,30
6,5,20,50,3000,"{37,41,45,46,46,47}",78,78,34.69456338882446,0,0,78
9,5,20,50,3000,"{20,23,29,31,44,48,49,49,50}",77,80,51.763020515441895,0,0,75
15,5,20,50,4000,"{21,22,23,26,29,36,38,42,42,43,43,44,45,46,49}",113,128,125.65935897827148,0,0,86
